,Tweet,stweets,puretext,emojis,c_emojis,Affect Dimension
61733,getting root canal tomorrow  😆 ,getting root canal tomorrow   😆  ,getting root canal tomorrow   ,😆,😆,1
61737,i happy able heart happiness  ❤️ ,i happy able heart happiness   ❤ ️ ,i happy able heart happiness  ️ ,❤,❤,1
78692,come i  🙈  bitter,come i   🙈   bitter,come i    bitter,🙈,,3
78724,no respect people force offended  😂 ,no respect people force offended   😂  ,no respect people force offended   ,😂,😂,3
78747,another loss city cup  🙈  united,another loss city cup   🙈   united,another loss city cup    united,🙈,,3
78768,snap  💘 ,snap   💘  ,snap   ,💘,,3
78772,actually sister time i watch thing huff  🙄 ,actually sister time i watch thing huff   🙄  ,actually sister time i watch thing huff   ,🙄,,3
78781,follow  👻 ,follow   👻  ,follow   ,👻,,3
78788,cut phone furious  🤗 ,cut phone furious   🤗  ,cut phone furious   ,🤗,,3
78822,oh zombie rage  😂 ,oh zombie rage   😂  ,oh zombie rage   ,😂,😂,3
78845,she pout  😍 ,she pout   😍  ,she pout   ,😍,😍,3
78853,eat pick brother car washed finally home watch fast furious  🤘🏼 ,eat pick brother car washed finally home watch fast furious   🤘  🏼  ,eat pick brother car washed finally home watch fast furious   ,🤘 🏼,,3
78860,fast furious not classified  🤔 ,fast furious not classified   🤔  ,fast furious not classified   ,🤔,,3
78861,i boiling water  😫 ,i boiling water   😫  ,i boiling water   ,😫,😫,3
78865,anyway car furious white men i funny story tell sober  😂 ,anyway car furious white men i funny story tell sober   😂  ,anyway car furious white men i funny story tell sober   ,😂,😂,3
78874,distraught  😭  pout piss,distraught   😭   pout piss,distraught    pout piss,😭,😭,3
78889,my starting irritate barely  😓 ,my starting irritate barely   😓  ,my starting irritate barely   ,😓,😓,3
78892,new madden kicking  🚮 ,new madden kicking   🚮  ,new madden kicking   ,🚮,,3
78894,nice u fuming  😂 ,nice u fuming   😂  ,nice u fuming   ,😂,😂,3
78969,tell bus obstruction dont pull oncoming traffic causing swerve fuming  😡 ,tell bus obstruction dont pull oncoming traffic causing swerve fuming   😡  ,tell bus obstruction dont pull oncoming traffic causing swerve fuming   ,😡,😡,3
78981,snap  ❤️ ,snap   ❤ ️ ,snap  ️ ,❤,❤,3
78989,stealing girl solod end flawlessly do try face wrath machine  😤 ,stealing girl solod end flawlessly do try face wrath machine   😤  ,stealing girl solod end flawlessly do try face wrath machine   ,😤,😤,3
79003,cant believe got days left  🙄  raging,cant believe got days left   🙄   raging,cant believe got days left    raging,🙄,,3
79013,near kitchen unfortunately i cooking snap series  🍳 ,near kitchen unfortunately i cooking snap series   🍳  ,near kitchen unfortunately i cooking snap series   ,🍳,,3
79060,r burning true love happiness  😃 ,r burning true love happiness   😃  ,r burning true love happiness   ,😃,😃,3
79066,room burning  🔥 ,room burning   🔥  ,room burning   ,🔥,,3
79072,u probably irritate talking he probably u  🖕🏻 ,u probably irritate talking he probably u   🖕  🏻  ,u probably irritate talking he probably u   ,🖕 🏻,,3
79073,or snap like  💀 ,or snap like   💀  ,or snap like   ,💀,,3
79080,long crap not gon lie  😐  bitter,long crap not gon lie   😐   bitter,long crap not gon lie    bitter,😐,😐,3
79095,these people irritate i swear  🙄  sleep,these people irritate i swear   🙄   sleep,these people irritate i swear    sleep,🙄,,3
79104,i swore parsnip  😂  raging,i swore parsnip   😂   raging,i swore parsnip    raging,😂,😂,3
79114,quad shot day sleep right time  😅  i raging coffee,quad shot day sleep right time   😅   i raging coffee,quad shot day sleep right time    i raging coffee,😅,😅,3
79148,seeing double tired i grudge getting phone night  🙄 ,seeing double tired i grudge getting phone night   🙄  ,seeing double tired i grudge getting phone night   ,🙄,,3
79161,all young people bitter older probably know  😂 ,all young people bitter older probably know   😂  ,all young people bitter older probably know   ,😂,😂,3
79187,disconnected whilst holiday  😤  i dont house  🤔  furious,disconnected whilst holiday   😤   i dont house   🤔   furious,disconnected whilst holiday    i dont house    furious,😤 🤔,😤,3
79191,homely pure piece gold channel attempt tart mary sue mel gone its  👋 ,homely pure piece gold channel attempt tart mary sue mel gone its   👋  ,homely pure piece gold channel attempt tart mary sue mel gone its   ,👋,,3
79284,cant believe got days left  🙄 ,cant believe got days left   🙄  ,cant believe got days left   ,🙄,,3
79287,love tay tiff sitting house work  🙃 ,love tay tiff sitting house work   🙃  ,love tay tiff sitting house work   ,🙃,,3
79329, 🏆  success best revenge whatever thinking better,  🏆   success best revenge whatever thinking better,   success best revenge whatever thinking better,🏆,,3
79338,my irritation level time high today  🙃 ,my irritation level time high today   🙃  ,my irritation level time high today   ,🙃,,3
79345,youve popular snap  🙄 ,youve popular snap   🙄  ,youve popular snap   ,🙄,,3
79365,sit reluctantly huff  🔪 ,sit reluctantly huff   🔪  ,sit reluctantly huff   ,🔪,,3
79371,i watch throw temper mad like i laugh  😅 ,i watch throw temper mad like i laugh   😅  ,i watch throw temper mad like i laugh   ,😅,😅,3
79372,express displeasure  😉 ,express displeasure   😉  ,express displeasure   ,😉,😉,3
79383,when want bad furious  😤 ,when want bad furious   😤  ,when want bad furious   ,😤,😤,3
79427,turn frown upside buddy  🙃 ,turn frown upside buddy   🙃  ,turn frown upside buddy   ,🙃,,3
79467,you people irritate thats right  😒 ,you people irritate thats right   😒  ,you people irritate thats right   ,😒,,3
79470,fuming draw  👀 ,fuming draw   👀  ,fuming draw   ,👀,,3
79487,come i  🙈 ,come i   🙈  ,come i   ,🙈,,3
79507,get gym discover i forgot gym bad  😤  rage,get gym discover i forgot gym bad   😤   rage,get gym discover i forgot gym bad    rage,😤,😤,3
79513,joke cut early mistake dont reinstate longer need engineer  😡  fuming,joke cut early mistake dont reinstate longer need engineer   😡   fuming,joke cut early mistake dont reinstate longer need engineer    fuming,😡,😡,3
79516,people irritate  🙄 ,people irritate   🙄  ,people irritate   ,🙄,,3
79540,absolutely fuming woman taxi drove  😡 ,absolutely fuming woman taxi drove   😡  ,absolutely fuming woman taxi drove   ,😡,😡,3
79676,long crap not gon lie  😐 ,long crap not gon lie   😐  ,long crap not gon lie   ,😐,😐,3
79689,initiative thing  😧  revenge,initiative thing   😧   revenge,initiative thing    revenge,😧,😧,3
79703,want dick  😘  horny naked young,want dick   😘   horny naked young,want dick    horny naked young,😘,😘,3
79710,i swore parsnip  😂 ,i swore parsnip   😂  ,i swore parsnip   ,😂,😂,3
79714,want dick  😘  snap horny naked young,want dick   😘   snap horny naked young,want dick    snap horny naked young,😘,😘,3
79725,incense  😂 ,incense   😂  ,incense   ,😂,😂,3
79726,joke cut early mistake dont reinstate longer need engineer  😡 ,joke cut early mistake dont reinstate longer need engineer   😡  ,joke cut early mistake dont reinstate longer need engineer   ,😡,😡,3
79737,hotter hotter sauce fiery torment  🔥 ,hotter hotter sauce fiery torment   🔥  ,hotter hotter sauce fiery torment   ,🔥,,3
79745,follow  👻  snap,follow   👻   snap,follow    snap,👻,,3
79751,s viral insult ballet stop trying wrongfully stick  🙄 ,s viral insult ballet stop trying wrongfully stick   🙄  ,s viral insult ballet stop trying wrongfully stick   ,🙄,,3
79771,initiative thing  😧 ,initiative thing   😧  ,initiative thing   ,😧,😧,3
79800,i got madden  🤕 ,i got madden   🤕  ,i got madden   ,🤕,,3
79811,resentment time  😩 ,resentment time   😩  ,resentment time   ,😩,😩,3
79816,poor seller furious  😕 ,poor seller furious   😕  ,poor seller furious   ,😕,😕,3
79824,girl sitting gum like cow ready snap  🤗 ,girl sitting gum like cow ready snap   🤗  ,girl sitting gum like cow ready snap   ,🤗,,3
79839,offend u  🤗 ,offend u   🤗  ,offend u   ,🤗,,3
79848,cant wait turtle costume raging  😈 ,cant wait turtle costume raging   😈  ,cant wait turtle costume raging   ,😈,,3
79871,irritate like gone  😤 ,irritate like gone   😤  ,irritate like gone   ,😤,😤,3
79883,holding grudge stop god learn forgive forget  🙏🏾 ,holding grudge stop god learn forgive forget   🙏  🏾  ,holding grudge stop god learn forgive forget   ,🙏 🏾,,3
79895,damn maybe best her brother revenge  😂 ,damn maybe best her brother revenge   😂  ,damn maybe best her brother revenge   ,😂,😂,3
79898,damn offense mix bag unpredictable lethal worried defense  😁 ,damn offense mix bag unpredictable lethal worried defense   😁  ,damn offense mix bag unpredictable lethal worried defense   ,😁,😁,3
79910,left dad deal  😂  my work soon felt wrath slipper  😷 ,left dad deal   😂   my work soon felt wrath slipper   😷  ,left dad deal    my work soon felt wrath slipper   ,😂 😷,😂,3
79927,get gym discover i forgot gym bad  😤 ,get gym discover i forgot gym bad   😤  ,get gym discover i forgot gym bad   ,😤,😤,3
79931,tiff better hurry cause  👀 ,tiff better hurry cause   👀  ,tiff better hurry cause   ,👀,,3
79947,how bitter  🙄 ,how bitter   🙄  ,how bitter   ,🙄,,3
79952,i dont know change ruined is considered holding grudge  😅 ,i dont know change ruined is considered holding grudge   😅  ,i dont know change ruined is considered holding grudge   ,😅,😅,3
79972,another loss city cup  🙈  united revenge,another loss city cup   🙈   united revenge,another loss city cup    united revenge,🙈,,3
79973,wrong fuming  😭 ,wrong fuming   😭  ,wrong fuming   ,😭,😭,3
79983,this offend i u trust cop  🚓  color especially white evidence clear the awoke,this offend i u trust cop   🚓   color especially white evidence clear the awoke,this offend i u trust cop    color especially white evidence clear the awoke,🚓,,3
79989,i thought i snap thats  ✊🏽 ,i thought i snap thats   ✊  🏽  ,i thought i snap thats   ,✊ 🏽,,3
79994,fuming  😭 ,fuming   😭  ,fuming   ,😭,😭,3
80065,fuming ball anger today  🙃 ,fuming ball anger today   🙃  ,fuming ball anger today   ,🙃,,3
80072,pathetic cute bitter  😖 ,pathetic cute bitter   😖  ,pathetic cute bitter   ,😖,😖,3
80079,i bitter today  😐 ,i bitter today   😐  ,i bitter today   ,😐,😐,3
80134,homely pure piece gold channel attempt tart mary sue mel gone its  👋  fuming,homely pure piece gold channel attempt tart mary sue mel gone its   👋   fuming,homely pure piece gold channel attempt tart mary sue mel gone its    fuming,👋,,3
80151,pressure burst  😭 ,pressure burst   😭  ,pressure burst   ,😭,😭,3
80159,u know i burst joy  😉 ,u know i burst joy   😉  ,u know i burst joy   ,😉,😉,3
80187,i miss i care face bitter  😩 ,i miss i care face bitter   😩  ,i miss i care face bitter   ,😩,😩,3
80196,snap  😃 ,snap   😃  ,snap   ,😃,😃,3
80198,scored madden vita today bloke didnt know id happily  🤑  bargain bargain,scored madden vita today bloke didnt know id happily   🤑   bargain bargain,scored madden vita today bloke didnt know id happily    bargain bargain,🤑,,3
80199,every day i think house  🏡  burning  🔥  neighbor burning toast,every day i think house   🏡   burning   🔥   neighbor burning toast,every day i think house    burning    neighbor burning toast,🏡 🔥,,3
80204,bitter night  😂 ,bitter night   😂  ,bitter night   ,😂,😂,3
80222,free month then month absolutely furious  😡 ,free month then month absolutely furious   😡  ,free month then month absolutely furious   ,😡,😡,3
80231,ill happily rude people personally insult unprovoked deserve  👍  just good people deserve respect,ill happily rude people personally insult unprovoked deserve   👍   just good people deserve respect,ill happily rude people personally insult unprovoked deserve    just good people deserve respect,👍,,3
80251,i love black people i but people irritate living hell cause different  😑 ,i love black people i but people irritate living hell cause different   😑  ,i love black people i but people irritate living hell cause different   ,😑,😑,3
